track_id,subset,genre_top
2,small,Hip-Hop
5,small,Hip-Hop
10,small,Pop
140,small,Folk
141,small,Folk
148,small,Experimental
182,small,Rock
190,small,Folk
193,small,Folk
194,small,Folk
197,small,Folk
200,small,Folk
203,small,Folk
204,small,Folk
207,small,Folk
210,small,Folk
211,small,Folk
212,small,Folk
213,small,Pop
255,small,Rock
256,small,Rock
368,small,Rock
424,small,Experimental
459,small,Rock
534,small,Folk
540,small,Folk
546,small,Folk
574,small,Rock
602,small,Folk
615,small,Experimental
620,small,Folk
621,small,Folk
625,small,Folk
666,small,International
667,small,International
676,small,Hip-Hop
690,small,Rock
694,small,Hip-Hop
695,small,Hip-Hop
704,small,International
705,small,International
706,small,International
707,small,International
708,small,International
709,small,International
714,small,Folk
715,small,Folk
716,small,Folk
718,small,Folk
777,small,Rock
814,small,Folk
821,small,Pop
822,small,Pop
825,small,Rock
853,small,International
890,small,Folk
892,small,Folk
897,small,Experimental
993,small,Rock
995,small,Experimental
997,small,Experimental
998,small,Experimental
1039,small,Rock
1040,small,Rock
1066,small,Experimental
1069,small,Experimental
1073,small,Experimental
1075,small,Experimental
1082,small,International
1083,small,Experimental
1087,small,Rock
1102,small,Rock
1193,small,Folk
1195,small,Folk
1196,small,Folk
1197,small,Folk
1249,small,Experimental
1259,small,Experimental
1270,small,Rock
1276,small,Experimental
1277,small,Experimental
1278,small,Experimental
1417,small,Rock
1427,small,Rock
1443,small,Experimental
1482,small,Electronic
1510,small,Experimental
1544,small,Folk
1642,small,Pop
1644,small,Pop
1649,small,Pop
1661,small,Pop
1663,small,Pop
1666,small,Pop
1673,small,Experimental
1680,small,International
1681,small,International
1682,small,International
1683,small,International
1684,small,International
1685,small,International
1686,small,International
1687,small,International
1688,small,International
1689,small,International
1701,small,Folk
1702,small,Folk
1703,small,Folk
1704,small,Folk
1706,small,Rock
1720,small,Rock
1732,small,Experimental
1733,small,Experimental
1735,small,Experimental
1736,small,Experimental
1883,small,Rock
1891,small,Rock
1893,small,Folk
1924,small,Folk
1925,small,Folk
1929,small,Experimental
1930,small,Rock
2012,small,Experimental
2096,small,Experimental
2097,small,Folk
2099,small,Pop
3263,small,Folk
3264,small,Folk
3265,small,Folk
3266,small,Folk
3270,small,Folk
3271,small,Folk
3272,small,Folk
3273,small,Folk
3274,small,Folk
3492,small,Rock
3532,small,Pop
3533,small,Pop
3534,small,Pop
3535,small,Pop
3537,small,Pop
3538,small,Pop
3573,small,Electronic
3598,small,Folk
3624,small,Rock
3707,small,Folk
3708,small,Folk
3720,small,Rock
3721,small,Rock
3722,small,Rock
3724,small,Rock
3725,small,Rock
3761,small,Rock
3762,small,Rock
3763,small,Rock
3765,small,Rock
3766,small,Rock
3775,small,International
3776,small,International
3777,small,International
3778,small,International
3779,small,International
3832,small,Folk
3833,small,Rock
3840,small,Rock
3880,small,Folk
3895,small,International
3896,small,International
3904,small,Folk
3905,small,Folk
3906,small,Folk
3908,small,Folk
3909,small,Folk
3910,small,Folk
3911,small,Folk
3912,small,Folk
3913,small,Folk
3920,small,Folk
3921,small,Folk
3950,small,Rock
4013,small,Folk
4017,small,Folk
4022,small,Rock
4037,small,Folk
4066,small,Folk
4067,small,Folk
4068,small,Folk
4069,small,Folk
4070,small,International
4071,small,International
4072,small,International
4073,small,International
4074,small,International
4075,small,International
4076,small,International
4077,small,International
4078,small,International
4079,small,International
4080,small,International
4091,small,International
4092,small,International
4093,small,International
4094,small,International
4095,small,International
4096,small,International
4097,small,International
4098,small,International
4099,small,International
4100,small,International
4101,small,International
4102,small,International
4103,small,International
4108,small,Rock
4232,small,International
4233,small,International
4234,small,International
4235,small,International
4236,small,International
4239,small,International
4450,small,Folk
4507,small,International
4508,small,International
4509,small,International
4510,small,International
4511,small,International
4519,small,Electronic
4520,small,Electronic
4521,small,Electronic
4522,small,Electronic
4682,small,Hip-Hop
4684,small,Hip-Hop
4685,small,Hip-Hop
4688,small,Hip-Hop
4777,small,Rock
4778,small,Rock
4779,small,Rock
4780,small,Rock
4781,small,Rock
4782,small,Rock
4784,small,Rock
4785,small,Rock
4786,small,Rock
4787,small,Rock
4788,small,Rock
4799,small,Rock
4835,small,Rock
4836,small,Rock
4838,small,Rock
4846,small,International
4848,small,International
4849,small,International
5006,small,Rock
5156,small,Folk
5157,small,Folk
5158,small,Folk
5159,small,Folk
5169,small,Folk
5170,small,Folk
5171,small,Folk
5191,small,Pop
5264,small,Hip-Hop
5268,small,Hip-Hop
5376,small,Folk
5381,small,Folk
5521,small,Experimental
5879,small,Folk
5936,small,Folk
5940,small,Folk
6329,small,International
6330,small,International
6331,small,International
6332,small,International
6333,small,International
6342,small,International
6354,small,International
6357,small,International
6358,small,International
6360,small,International
6363,small,International
6366,small,International
6367,small,International
6368,small,International
6370,small,International
6372,small,International
6373,small,International
6376,small,International
6379,small,International
6380,small,International
6381,small,International
6382,small,International
6383,small,International
6385,small,International
6387,small,International
6389,small,International
6390,small,International
6393,small,International
6394,small,International
6396,small,International
6406,small,Folk
6407,small,Folk
6439,small,Hip-Hop
6440,small,Hip-Hop
6442,small,Hip-Hop
6443,small,Hip-Hop
6448,small,Hip-Hop
6459,small,International
6461,small,Folk
6463,small,Folk
6467,small,Folk
6469,small,International
6517,small,Rock
6519,small,Rock
6603,small,Hip-Hop
6605,small,Hip-Hop
